V1,V2,V3,V4,V5,V6,V7,V8
9391.833,9394.852,9399.294,9404.023,9420.684,9419.415,9414.859,9427.032
7595.4463,7680.891,7726.1562,7791.6226,7835.037,7909.397,7935.94,8022.064
12039.223,12034.529,12048.949,12067.062,12053.812,12045.264,12054.124,12076.951
5919.867,5963.033,5998.116,6043.9883,6060.375,6082.6064,6103.0347,6165.2207
17906.576,17915.016,18313.424,18442.195,18631.781,18557.477,18878.129,19059.771
12463.727,12567.517,12711.785,12678.986,12989.712,13047.425,13060.837,13154.088
11701.872,11827.613,11889.156,11936.8125,12009.0,12118.967,12153.1875,12239.937
10433.189,10500.053,10533.131,10633.262,10740.852,10769.361,10754.012,10895.316
19243.004,19558.033,19867.088,20004.086,20157.191,20400.93,20654.566,20861.916
4124.5264,4017.9492,4176.387,4082.9207,4201.0557,4086.8809,4227.546,4153.9756
5660.036,5658.7324,5797.8394,5726.3423,5794.0815,5745.2026,5857.5396,5814.03
5979.8364,5786.1006,6131.8647,6159.231,6054.836,5840.2583,6176.373,6238.4873
4407.058,4188.73,4397.715,4371.7876,4560.4453,4313.2295,4505.8545,4501.653
6123.0117,6078.445,6092.5664,6116.624,6103.045,6089.667,6100.6436,6133.0645
1887.6741,1867.9532,1894.7676,1896.2427,1879.8278,1868.7316,1890.7404,1891.3303
2288.904,2283.399,2396.825,2315.3452,2298.6785,2284.9558,2399.6243,2332.3843
7644.4316,7867.57,7881.7163,7684.507,7708.7783,7931.475,7939.4785,7771.095
1002.9905,1023.4843,1122.093,1185.2937,1016.7345,1029.5636,1128.937,1210.2435
2460.4607,2501.1453,2496.341,2450.6238,2445.9883,2497.4275,2469.294,2414.7441
1224.4908,1226.4996,1243.3317,1266.3511,1288.8611,1285.9628,1297.253,1322.8267
7861.0107,6837.065,7326.547,6824.7397,8030.7476,7043.249,7448.6865,6922.985
1500.2119,1403.3334,1457.2426,1381.9443,1504.309,1416.8513,1457.3021,1388.1912
1209.1747,1216.6001,1222.8092,1226.3074,1228.3424,1234.2294,1239.1434,1244.0402
1215.5594,1222.4677,1227.299,1230.5696,1231.5312,1236.3262,1240.2179,1244.8551
1185.414,1188.1675,1197.5519,1201.3503,1205.7523,1206.2969,1213.832,1219.4138
1220.217,1227.9801,1235.4442,1237.1083,1238.8049,1244.9796,1251.1678,1254.0833
1230.102,1238.1572,1244.1539,1248.6755,1253.65,1260.6112,1264.704,1271.2811
1229.5715,1235.9587,1242.4872,1244.2825,1249.129,1253.9221,1258.5494,1262.4119
1204.5894,1209.0016,1214.6835,1218.0573,1221.1292,1224.2013,1228.4839,1233.7864
1242.1292,1252.1204,1260.6958,1267.1075,1271.1072,1280.1719,1286.6228,1295.4175
1243.0106,1251.46,1257.2389,1263.2235,1266.8065,1274.6271,1277.8652,1288.3927
1238.4348,1243.8973,1248.0272,1256.8258,1258.7222,1262.8591,1265.6722,1276.3179
1263.5592,1272.2363,1281.073,1286.8917,1292.5994,1298.2574,1305.668,1313.137
1205.0889,1210.1622,1214.8193,1218.913,1221.3785,1226.1602,1229.3363,1235.4086
1193.2421,1199.6632,1203.7418,1207.0802,1210.1733,1215.6594,1218.6289,1223.7008
1194.1747,1200.4355,1205.1866,1211.0718,1213.413,1218.9347,1222.4205,1230.6095
1222.6333,1229.3365,1233.8851,1236.4956,1240.4365,1245.0138,1248.3441,1252.0765
1233.2487,1241.4292,1249.5454,1252.7666,1256.7567,1263.4335,1270.015,1275.8551
1222.0511,1230.0928,1234.6775,1239.9862,1244.3048,1251.3525,1254.2378,1261.3253
1191.0383,1199.4585,1203.1315,1207.6528,1211.0132,1218.3645,1220.6189,1227.0125
1208.6051,1218.0862,1223.4567,1226.2042,1229.0883,1237.015,1240.8342,1245.3113
1289.6986,1301.3975,1310.0492,1313.5957,1317.3022,1327.0278,1333.8075,1340.022
1219.2932,1226.6589,1235.1221,1237.4636,1239.6016,1245.3207,1252.6392,1256.8884
1222.6431,1227.3405,1231.2533,1235.6368,1239.8253,1243.0004,1245.6357,1251.4059
1229.2476,1233.886,1235.56,1241.5719,1246.9661,1249.5598,1249.757,1256.8403
1225.5378,1231.0392,1234.5872,1237.7523,1240.7947,1245.1675,1247.4705,1252.0166
1173.5884,1176.6409,1178.7649,1180.1853,1181.7194,1183.6356,1185.0406,1187.3721
1220.7852,1226.6826,1232.4517,1235.8704,1239.9747,1243.8671,1248.4448,1253.3328
1233.846,1239.6263,1245.0244,1249.8374,1253.0416,1257.3271,1261.3948,1268.6174
1210.1544,1216.9773,1223.3337,1228.3915,1232.6986,1238.3558,1243.0573,1249.907
1233.8201,1244.8281,1254.8942,1258.3572,1258.4585,1267.6259,1276.102,1281.7582
1264.96,1272.4213,1277.4623,1284.9435,1288.7603,1295.0485,1298.6654,1308.2864
1231.9119,1239.1658,1242.318,1249.8417,1250.8566,1256.5101,1258.5914,1267.3231
1225.8749,1232.1447,1235.5277,1243.1775,1243.1489,1248.0529,1250.3551,1259.6052
1251.3348,1256.4016,1259.3469,1263.5206,1266.5116,1270.136,1271.9161,1277.9912
1193.3044,1197.4894,1199.2023,1203.1718,1206.5017,1209.7639,1210.6866,1215.218
1185.018,1189.7192,1191.3806,1195.7854,1196.4663,1200.254,1201.276,1206.4286
1179.6139,1184.0587,1185.8993,1192.0024,1191.4657,1195.057,1196.1943,1203.0691
1357.5168,1370.5787,1376.5986,1385.4609,1387.8129,1397.7319,1401.9612,1414.3167
1710.1039,1719.0288,1704.8112,1730.9799,1708.8458,1719.1409,1703.9962,1728.5264
1674.0702,1673.9592,1685.992,1698.8911,1696.1976,1691.4702,1702.7412,1716.6119
1618.4568,1628.4376,1641.8081,1658.6796,1681.9904,1681.5922,1691.6769,1711.9308
1677.3672,1682.9618,1685.212,1689.0035,1700.5726,1699.77,1700.542,1707.4984
2401.29,2418.6038,2439.6558,2449.1807,2468.983,2474.3696,2491.9336,2506.278
1240.5427,1307.8477,1349.2476,1350.5116,1418.9928,1459.4182,1486.937,1505.4946
4710.878,4485.4395,4832.8594,5119.9424,4961.5117,4692.9644,5030.1123,5361.7314
1518.188,1534.6082,1526.2308,1529.4932,1510.2129,1537.6589,1523.2439,1540.647
18342.297,18616.697,18824.527,19004.145,19286.855,19473.576,19618.422,19843.367
11657.178,11371.905,11351.13,11878.1875,11698.197,11906.217,11653.253,11551.432
12444.89,12466.887,7422.557,11094.95,12653.787,13027.289,7865.6406,11142.657
2148.6543,2254.682,2684.7842,2613.3462,2327.7627,2434.1118,2930.5886,2915.0894
6380.0845,6020.5854,5934.747,6610.1406,7066.884,6631.7314,6457.8877,7166.0127
1285.139,1035.5542,1316.1984,910.1498,1274.7169,978.9235,1253.3972,920.428
10115.387,10292.254,10519.596,10679.924,11001.294,11010.171,11071.352,11304.408
13584.499,14415.303,14641.608,15108.652,14014.748,14775.435,14986.598,15553.922
6680.5303,6867.1963,6841.0884,7365.4233,6693.5728,6854.3257,6841.671,7379.0703
7194.0024,7355.827,7211.92,7332.3945,7086.3945,7400.881,7224.3438,7346.5767
10815.604,10902.983,10964.789,11038.76,11089.007,11169.013,11208.873,11303.532
1651.8655,1708.4119,1608.8258,1682.5951,1714.4435,1801.6888,1696.7241,1746.6437
10797.618,10884.418,10901.113,10962.865,11006.379,11069.824,11074.627,11156.942
16445.73,16967.418,17436.203,17842.135,17951.014,18361.785,18713.021,19341.77
3647.085,3775.929,3898.1274,4016.8374,4066.6626,4177.7334,4272.1753,4435.338
12323.471,12538.816,12923.193,12667.043,12675.055,12752.127,13039.278,12867.845
9741.491,9824.37,9875.462,9951.113,10000.775,10067.803,10083.075,10186.237
11511.752,11569.282,11572.607,11720.239,11725.884,11769.675,11742.744,11915.504
16414.83,16953.04,17044.645,17508.06,17909.879,18293.803,18286.596,18837.877
29450.086,30280.889,30657.895,31545.738,31963.14,32497.057,32649.484,33784.633
24667.111,25648.826,26325.352,26831.383,27428.389,28208.02,28701.434,29376.074
16385.25,16852.934,16980.863,17210.86,17646.674,17962.396,17983.611,18317.85
4742.4473,4833.6665,4908.619,4988.9023,5033.869,5123.6245,5142.784,5289.336
10793.7,10855.4375,10869.36,10952.405,10989.635,11030.439,11030.807,11137.383
11330.917,11415.316,11442.458,11563.035,11570.486,11578.666,11598.093,11744.139
7871.216,7880.843,7956.977,7921.678,7881.6045,7850.5967,7905.566,7879.1523
11208.14,11206.868,11293.488,11339.559,11388.239,11342.627,11396.946,11411.699
12802.932,12654.594,12715.181,12888.47,12879.927,12745.901,12758.478,12986.327
5884.3574,5692.3013,5698.8037,5758.748,5896.324,5760.7144,5729.0195,5726.5586
7386.972,7323.294,7304.3145,7378.3354,7642.7197,7483.2227,7362.162,7420.471
13122.244,13541.9795,13583.857,13616.077,14127.937,14348.711,14236.342,14409.856
2465.8267,2461.1191,2458.517,2448.843,2473.7834,2461.1907,2458.5166,2449.9363
10724.13,10780.776,10801.444,10824.248,10875.314,10907.36,10918.179,10960.062
11048.597,11079.469,11124.926,11168.325,11214.052,11217.903,11244.634,11311.19
8152.6406,7946.4233,7915.723,8087.826,8161.7876,7994.908,7927.9653,8047.298
1619.6978,1558.4734,1546.1628,1592.6333,1611.2743,1573.7899,1550.1161,1573.2924
9847.244,9618.61,9540.684,9680.578,9858.058,9699.527,9575.543,9630.297
9554.968,9479.239,9525.246,9590.773,9557.818,9485.677,9527.892,9591.656
7371.8154,7433.4424,7632.655,7654.934,7725.5835,7705.8477,7893.3975,7949.3774
5679.807,5779.0938,5904.947,5903.402,5909.727,6013.997,6079.0244,6105.62
2876.1987,2978.1658,3055.072,3094.42,3119.2646,3211.865,3267.2898,3354.6924
505.26093,468.6845,464.03375,490.84265,480.83527,474.71173,466.4923,499.36523
1865.8977,1631.7946,1699.1284,1790.2343,1799.1517,1677.9106,1713.9196,1773.1461
3770.9282,3762.5764,3799.2676,3781.7305,3773.8252,3759.949,3782.04,3770.3796
13886.766,13893.052,13877.238,13742.8955,13902.882,13928.32,13872.307,13763.878
5714.621,5954.007,6097.4644,5966.2876,5778.708,5929.616,6075.708,6079.7803
839.3588,858.4947,847.8596,859.3626,840.80255,862.81836,851.66785,862.3164
25278.617,25223.922,25776.451,25594.756,25889.223,25586.729,25902.855,25859.223
11074.993,11184.553,11250.184,11298.48,11350.185,11436.17,11468.547,11561.506
1416.9725,1441.4679,1439.977,1423.3391,1422.5231,1440.2617,1439.2571,1425.8688
12442.48,12454.84,12823.648,12594.993,12530.571,12358.977,12759.469,12647.226
11310.926,11378.798,11383.166,11276.564,11266.711,11316.139,11336.362,11284.859
3976.76,4016.33,4094.2166,4149.865,4170.054,4195.1006,4255.4175,4334.7417
1263.5183,1281.6494,1298.6869,1308.9347,1314.4309,1326.4688,1340.1766,1354.0182
11176.003,11290.57,11358.442,11431.04,11512.063,11601.754,11642.1,11744.469
8237.614,8221.539,8220.527,8238.8,8245.396,8218.457,8221.5625,8243.862
6839.5312,6848.875,7029.8613,7044.451,7136.403,7110.1484,7265.4673,7306.4375
4984.3276,4965.9062,5062.7793,5087.6123,5146.6567,5103.12,5176.136,5213.303
4366.239,4348.2715,4459.403,4488.0405,4492.6357,4458.618,4557.7104,4600.2236
3447.2385,3449.8408,3453.0425,3454.3008,3460.0613,3457.4075,3459.353,3460.6992
2256.3403,2334.548,2358.1807,2422.8193,2484.2283,2552.6558,2557.5173,2639.8342
9963.021,9739.103,9698.54,9826.637,10015.309,9796.526,9706.883,9785.05
15553.189,16346.799,16813.805,16719.178,17079.176,17600.293,17997.514,17971.488
6376.095,6480.3955,6549.0293,6680.305,6684.8047,6771.3315,6803.748,6967.6743
2277.9316,2293.1323,2325.413,2350.62,2371.7473,2384.1763,2403.6738,2437.3354
2054.35,2076.6912,2106.4946,2133.5684,2143.159,2161.1755,2182.9465,2217.9753
2994.1345,3033.2654,3084.0903,3124.518,3179.7578,3204.1797,3238.148,3288.5889
1828.0676,1857.1226,1835.7902,1838.875,1872.0118,1886.1271,1852.6536,1865.2993
4414.801,4470.9824,4436.843,4412.547,4456.4077,4488.3047,4437.151,4435.6855
12032.738,12099.0625,12400.529,12382.79,12447.059,12491.238,12749.385,12730.709
8053.794,7938.7114,8074.735,8078.293,8058.4404,7916.3384,8052.8525,8046.682
3286.649,3320.196,3395.5745,3393.7869,3506.018,3516.143,3556.3154,3557.8533
7272.432,7276.5127,7263.1294,7253.934,7280.4277,7281.378,7267.063,7255.7627
7250.6777,7328.3633,7396.1567,7423.153,7454.65,7507.9634,7556.1484,7606.278
2181.3235,2193.0884,2219.003,2240.7046,2252.3582,2254.2964,2276.2383,2300.9902
10167.058,9969.435,9864.562,10031.069,10156.942,10029.205,9887.801,9974.199
3210.5776,3237.8167,3262.697,3219.345,3287.65,3270.7078,3289.2878,3264.261
11954.727,12127.33,12253.016,12166.63,12369.411,12443.811,12513.767,12519.739
10418.786,10598.711,10950.471,11000.461,11342.216,11494.783,11778.413,11845.23
15454.247,15562.987,15807.99,15583.646,15602.245,15447.551,15634.727,15619.395
9820.198,9540.523,9458.997,9719.412,9826.9,9609.56,9484.221,9677.191
8961.461,9143.993,9310.675,9063.383,9092.089,9225.764,9402.783,9103.173
26180.184,26454.865,26601.025,26465.828,26374.123,26497.11,26619.797,26606.85
7096.824,7204.875,7262.6025,7387.2754,7296.321,7347.3794,7391.74,7518.9023
8136.9785,8451.056,8301.247,8457.959,8301.685,8548.034,8412.003,8602.58
3393.3901,3328.637,3364.888,3508.781,3512.363,3415.1536,3448.3525,3604.929
1338.638,1422.5524,1347.5497,1495.0437,1355.3749,1431.8663,1355.1455,1500.9788
7849.429,8076.3086,7894.0493,8438.847,8095.745,8342.18,8106.4336,8622.497
8712.572,9045.148,9112.225,9290.35,9443.555,9690.571,9725.435,9950.625
7534.44,7672.7896,7788.4175,7694.1567,7690.1084,7764.279,7779.5684,7778.536
2310.1626,2492.96,2401.235,2653.2944,2424.3835,2600.974,2500.2769,2762.6284
964.52844,1017.9394,991.51227,1024.566,1010.3246,1054.7771,1026.8049,1058.273
8499.854,8674.657,8951.524,9053.943,9172.097,9325.748,9508.904,9690.143
15320.965,15289.17,15876.3545,15756.157,15919.704,15842.859,16264.038,16173.431
12819.109,12944.775,13007.283,13110.586,13181.848,13282.902,13317.367,13447.079
9978.188,9961.083,9841.371,9907.805,9875.271,9889.089,9707.395,9853.587
8768.191,8911.18,9005.83,9148.824,9319.015,9391.182,9445.566,9616.477
2133.8408,2160.9998,2179.8662,2226.6929,2224.5823,2245.0105,2256.7307,2312.7566
5025.4824,4943.303,4969.569,5074.6865,5102.5444,5005.0903,5027.6543,5139.2256
7979.173,7430.083,7622.126,7727.0977,7985.3906,7437.4136,7613.6104,7748.278
4747.7256,4471.319,4763.5293,5019.0254,4796.5356,4492.6924,4797.0283,5081.5264
3386.13,3237.369,3308.7712,3329.4773,3395.419,3245.7297,3312.2637,3346.2964
4843.6045,4530.232,4719.9165,4635.637,4828.2207,4530.8125,4704.54,4642.254
8039.8706,7497.5415,7984.1255,8563.7705,8106.41,7501.577,8010.046,8611.871
3934.408,3790.1921,3886.0732,3882.448,3925.624,3789.3237,3878.7778,3884.0068
5640.769,4720.0967,5250.9233,5498.0986,5703.926,4751.8804,5267.86,5576.6123
1970.0751,1815.7307,1957.5864,2188.773,2030.7704,1853.0814,2004.9276,2257.0518
1637.6514,1580.7218,1617.9584,1574.6332,1638.0574,1582.8124,1617.4962,1578.3158
4472.5884,3824.9968,3974.636,4025.3662,4524.931,3886.7646,4001.5715,4078.0715
