V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
1907.1443,1730.5043,1553.0378,1460.8606,1412.3519,1422.9614,1481.8546,1565.1221,1623.2191,1744.2698,1907.161,2048.2834,2235.4636,2382.0693,2472.263,2543.4216,2587.924,2590.4292,2553.285,2471.9382,2390.2942,2298.3374,2227.9014,2058.8257,1849.4791,1669.4391,1518.0112,1448.5194,1398.6907,1369.346,1438.4124,1533.0815,1592.4418,1702.6118,1897.9839,2025.7095,2149.6052,2302.3066,2407.6165,2446.2515,2464.776,2499.7192,2470.6372,2375.8704,2265.633,2169.5151,2107.4094,1974.5883
4359.5825,4183.936,3823.3958,3482.8762,3203.7188,2923.8835,2790.5554,2662.8027,2650.9556,2778.9873,2977.3308,3153.5027,3415.5193,3680.3855,3911.3362,4212.41,4435.6157,4662.506,4828.631,4944.6064,5044.82,4957.7334,4735.223,4512.157,4303.1074,4144.947,3789.9817,3437.6047,3107.0554,2856.1313,2686.247,2631.1372,2714.1084,2683.983,2886.6067,3096.6213,3276.1921,3653.2305,3908.9875,4073.998,4293.292,4531.402,4703.9697,4842.879,4827.813,4754.3223,4511.454,4382.6255
4926.8833,4608.8076,4248.869,4088.2896,3975.0208,3897.1733,3956.261,4178.944,4317.536,4672.6904,5040.8706,5366.67,5816.885,6106.5503,6324.636,6490.206,6602.467,6601.2397,6458.2046,6242.839,6017.3403,5773.3296,5580.7427,5213.4585,4822.1704,4488.0923,4169.919,3977.455,3884.628,3728.003,3821.0176,3984.4048,4120.0957,4467.8267,4962.293,5301.871,5617.0894,5975.5293,6277.1025,6323.9873,6414.524,6414.6816,6379.75,6139.278,5908.483,5661.2974,5469.5728,5153.0273
113414.914,105604.195,97685.94,93460.64,91513.11,90124.83,91943.28,96524.03,100576.83,106854.4,114576.74,120081.695,127757.79,132451.81,135873.34,138322.17,140161.89,140656.39,140441.28,137394.44,134637.03,130314.41,126289.6,118156.586,108330.945,100619.305,94036.17,90048.83,87773.555,84586.24,86915.625,90712.44,94763.92,100870.08,109199.25,116056.54,121769.15,128585.27,133876.34,134389.17,136066.48,137686.86,137762.69,134301.42,129330.96,124888.805,120334.32,113207.96
102559.1,96033.125,88816.016,85040.14,83467.97,81598.805,82472.49,85340.25,88352.12,93785.61,100097.52,105159.53,111502.65,116354.75,119754.52,123049.62,125701.33,126279.08,125729.26,123833.36,121135.83,116681.266,113330.3,107630.63,100476.305,93740.85,86772.484,83394.984,80949.55,77556.125,78413.26,81597.336,84786.08,89845.69,96998.625,103153.13,108345.35,114489.71,119938.19,121094.49,123855.055,124761.914,125581.47,123068.44,119465.64,115050.29,111194.23,106356.16
94734.195,88744.79,82176.64,78719.01,77333.15,75640.95,76471.8,79095.35,81891.15,86787.84,92504.48,97052.49,102703.64,107054.6,110089.11,113051.61,115460.45,115996.625,115539.45,113859.266,111455.8,107421.6,104420.44,99275.26,92735.23,86602.375,80244.93,77182.94,74961.83,71867.4,72650.52,75594.64,78557.484,83128.3,89514.92,95081.35,99747.01,105266.54,110184.71,111206.625,113743.99,114582.85,115325.76,113123.78,109851.46,105872.664,102391.49,98033.31
5953.76,5700.447,5225.2983,4809.446,4502.581,4168.0093,3993.897,3823.054,3790.2175,3817.5396,3928.9668,4088.2168,4473.53,4834.0806,5149.784,5599.017,5942.9775,6319.8613,6539.8755,6659.3696,6656.8047,6528.345,6385.134,6175.6143,5920.807,5655.523,5186.977,4778.4297,4395.374,4118.12,3898.0317,3788.5151,3876.375,3699.8003,3779.5107,4063.0972,4359.385,4875.427,5222.4585,5476.2627,5806.5557,6165.5376,6454.1514,6621.898,6564.4194,6569.5615,6343.6157,6177.7915
47246.83,44584.664,40821.58,37562.984,35483.113,33569.957,32904.027,32383.375,32843.855,34125.375,36145.914,38013.203,40353.45,42055.668,43258.863,45097.414,46735.863,48218.785,49204.75,50011.68,51082.625,50757.246,50031.49,48364.633,45778.477,43460.758,40094.973,37135.16,34681.49,32864.137,32027.438,31917.857,32914.04,33124.566,34889.273,37341.055,39226.594,41786.89,43345.527,44190.22,45611.934,47119.98,48137.293,48917.418,49071.02,48908.168,48036.195,46492.69
1343.1318,1273.2749,1182.1791,1116.8369,1087.0375,1057.7634,1047.1545,1054.5483,1088.2893,1149.1736,1206.9254,1239.8903,1272.1083,1297.427,1312.5028,1335.6105,1356.2141,1378.0315,1405.161,1412.0585,1428.8795,1426.3826,1412.8602,1385.3042,1349.3148,1279.8907,1179.7803,1123.34,1081.4629,1046.3757,1038.26,1049.2103,1079.2086,1120.8483,1184.0085,1234.2875,1259.9758,1298.1954,1328.165,1337.5503,1357.2639,1382.8829,1405.8535,1406.5344,1415.4828,1401.6381,1390.0204,1371.4994
24285.389,22139.258,20314.896,19396.418,18947.54,18586.207,18985.283,20252.48,21675.242,23422.799,25265.057,26332.299,27677.334,28527.393,29084.178,29612.11,30004.133,30312.22,30124.691,29286.379,28793.395,28139.959,27415.389,25418.352,22723.79,20800.594,19432.992,18624.49,18243.17,17473.555,18068.102,19080.824,20368.361,22106.018,23946.432,25139.611,26030.521,27228.242,28229.068,28224.352,28579.621,29088.75,28923.812,28084.559,27065.883,26398.465,25673.615,23866.02
2094.9258,1898.6393,1640.2881,1508.5404,1457.3766,1359.164,1331.5226,1411.7831,1533.8445,1696.1191,1835.4623,1908.99,1992.1216,2053.0664,2113.003,2240.8215,2337.8582,2475.2134,2530.8428,2567.7046,2632.6262,2545.9453,2328.4478,2191.7559,1987.3848,1802.6112,1614.5715,1486.2357,1423.7882,1321.9014,1345.4556,1370.7273,1487.9541,1611.2789,1723.842,1819.1143,1875.8015,1965.2572,2040.803,2037.7722,2143.7432,2253.8108,2293.5984,2353.6406,2340.2305,2262.5842,2130.2354,2009.6614
3350.7332,3068.289,2753.4216,2465.7524,2218.7917,2028.1794,1938.6592,1881.1926,1886.292,1993.4695,2183.3262,2319.7527,2513.4377,2650.319,2769.3503,2941.4683,3058.0461,3243.9697,3337.312,3388.8838,3547.298,3578.0483,3532.379,3367.1665,3012.168,2801.1409,2592.3384,2318.022,2085.6484,1934.0754,1829.0709,1803.0747,1872.9819,1883.438,2068.2876,2222.974,2331.3875,2547.4556,2650.0999,2708.8384,2794.614,2966.703,3000.842,3104.4873,3100.465,3127.3716,3091.6572,2939.4204
113338.586,105528.875,97619.234,93395.02,91446.836,90060.19,91878.56,96457.44,100505.41,106775.016,114491.41,119994.42,127670.35,132363.48,135784.47,138229.64,140068.66,140564.25,140351.2,137303.75,134547.73,130226.46,126201.81,118074.58,108253.05,100539.31,93971.42,89983.49,87708.52,84525.055,86853.86,90647.664,94696.12,100794.56,109117.19,115971.4,121682.32,128493.836,133782.45,134296.56,135975.84,137596.06,137669.88,134212.38,129242.29,124799.77,120246.164,113123.48
1949.8142,1888.5991,1741.9897,1640.2524,1608.064,1560.4839,1552.0471,1544.9667,1591.779,1660.9152,1729.9675,1790.271,1876.422,1950.6342,1995.4828,2066.387,2138.858,2145.5173,2160.4521,2134.1702,2082.5037,2022.4097,1990.5719,2005.5255,2001.4521,1917.7697,1733.6086,1648.1963,1579.4861,1515.337,1494.3315,1520.3894,1578.5634,1614.0443,1683.9316,1785.2913,1880.0427,1984.6366,2083.9065,2144.3264,2209.896,2246.0881,2311.9248,2261.423,2227.1472,2150.923,2088.1348,2079.2292
3839.642,3693.0576,3454.63,3141.127,2897.1155,2717.8787,2651.1768,2618.8894,2664.228,2780.3508,2982.501,3136.5408,3354.29,3478.9788,3575.962,3694.7905,3792.2876,3875.9534,3914.7778,3922.9956,4025.8464,4037.2852,3999.6206,3830.749,3560.0552,3490.2134,3314.0144,3002.6885,2732.1194,2564.4775,2447.7378,2454.9602,2558.3186,2611.2173,2808.6426,3012.9578,3192.765,3410.9607,3493.7573,3542.567,3611.7324,3694.7222,3691.502,3735.625,3729.0503,3780.522,3701.6914,3514.5107
3566.8809,3271.4019,3004.069,2857.2317,2798.2773,2742.3267,2764.8882,2836.1382,2914.3877,3153.624,3422.4248,3662.3372,3981.7808,4198.832,4354.313,4514.6953,4641.8325,4726.08,4707.409,4592.5557,4444.1904,4269.5596,4144.1646,3798.4207,3410.4165,3113.9917,2879.8013,2748.3176,2691.079,2577.181,2613.2734,2722.0823,2835.7317,3063.1309,3403.6316,3674.1113,3911.1602,4181.376,4389.7637,4470.1025,4612.2593,4657.8013,4716.394,4540.2964,4368.525,4159.003,4000.8472,3638.4954
3385.883,3107.659,2859.6187,2734.8308,2668.9636,2626.224,2676.9045,2780.9385,2876.0146,3064.5972,3312.0059,3532.126,3827.9595,4032.5815,4200.163,4357.0713,4471.6865,4520.9536,4451.478,4317.3496,4191.533,4047.2087,3916.376,3602.6982,3255.8132,2985.0332,2774.3833,2663.3958,2606.7239,2494.8113,2566.9038,2678.4514,2771.0999,2955.3215,3245.7542,3503.911,3722.957,3993.9036,4223.8223,4292.6255,4398.6406,4422.078,4411.779,4230.7173,4083.6445,3893.0635,3753.693,3450.0383
1123.5623,1092.784,1015.85803,928.3372,860.1893,810.77783,786.4264,777.9098,792.8438,839.12836,924.80414,1015.37103,1086.9381,1128.8553,1154.598,1179.9939,1200.9331,1216.8141,1215.7726,1209.7843,1229.3438,1215.2201,1181.9086,1131.2367,1080.8425,1063.443,999.1864,919.8587,849.8486,803.72394,775.78467,780.21375,801.8171,828.8551,904.80585,987.26105,1043.5178,1099.128,1127.972,1138.5576,1155.2556,1170.863,1172.0725,1170.3643,1163.6442,1154.244,1123.0085,1075.3807
34667.43,32470.656,30430.305,29473.828,28850.398,28524.342,28788.791,29483.508,29678.438,31154.371,33502.613,35943.445,38932.54,41017.766,42512.906,43427.297,43919.46,43227.863,42678.035,41784.17,40750.855,39783.234,38966.96,36443.84,33704.844,31287.79,29364.277,28574.88,27870.39,26820.25,27256.486,28227.65,28583.113,29884.21,32668.012,35364.18,37825.188,40575.848,42533.89,43110.33,43637.938,43427.953,43396.754,41997.645,40796.664,39420.984,38027.668,35790.895
156.79541,138.92601,119.88316,111.2065,107.36309,107.21715,109.426834,117.5792,124.37803,139.11397,161.48134,180.84418,210.33804,230.62059,245.51694,253.07417,257.25458,256.37543,253.30469,239.00041,228.28024,213.01106,195.17932,173.31044,152.40474,134.23633,115.58133,111.21733,106.45099,102.0512,106.83295,117.856155,122.52591,136.1859,160.99625,181.42653,201.61395,225.2728,241.17514,245.11356,245.0911,241.932,237.38568,220.49126,206.22328,189.46443,176.16583,160.05124
34022.992,31880.873,29891.977,28959.098,28350.236,28037.762,28305.336,28987.262,29174.145,30607.164,32897.816,35277.074,38181.586,40206.586,41662.89,42558.08,43043.64,42377.234,41840.35,40967.586,39962.414,39022.46,38225.72,35754.38,33070.277,30712.979,28846.203,28078.395,27394.102,26372.258,26807.416,27755.23,28095.584,29360.88,32074.926,34702.336,37099.688,39777.215,41681.203,42243.22,42762.516,42558.758,42521.95,41154.14,39983.605,38647.508,37290.562,35097.605
5176.397,4925.7417,4479.4297,4190.7114,4017.2866,3755.6206,3634.9043,3438.873,3410.3276,3500.726,3608.702,3687.6104,3849.295,4071.6453,4292.328,4660.3022,4931.852,5109.8647,5305.4043,5473.7876,5549.862,5474.625,5377.2695,5269.3335,5147.4087,4879.895,4420.653,4074.1316,3845.057,3592.819,3420.9636,3308.3557,3402.9248,3324.4182,3388.573,3610.681,3790.1594,4175.6455,4515.0176,4776.7056,5112.7886,5310.1826,5587.136,5683.0835,5697.3086,5623.792,5415.4487,5292.2114
17141.938,16512.795,15188.797,14187.746,13663.833,12881.842,12557.707,12128.4375,12169.727,12574.17,12994.84,13364.321,13988.679,14680.139,15285.91,16213.529,16923.246,17315.785,17897.89,18380.96,18550.61,18229.895,17867.719,17561.34,17218.24,16470.047,15023.366,13971.402,13196.531,12430.595,11966.222,11770.325,12122.857,12010.111,12346.28,13117.502,13788.272,14885.087,15884.857,16502.75,17396.838,17964.314,18849.117,19121.25,19130.398,18855.139,18186.535,17837.312
36116.742,34064.473,31542.404,29994.38,29218.95,28088.52,27770.398,28057.94,28707.373,30032.988,31718.012,33343.062,35652.473,37572.168,39124.348,40832.777,42214.496,42672.883,42981.438,42673.98,42005.402,40650.863,39544.508,37919.566,35848.58,33671.695,31202.066,29901.613,28749.668,27333.088,27173.307,27696.973,28453.234,29309.57,31317.205,33546.492,35571.52,38121.31,40351.766,41338.125,42666.62,43234.113,44160.645,43370.4,42493.383,40977.57,39452.637,37839.035
377.66418,356.83548,329.54138,315.38446,308.6289,302.8729,309.25256,333.721,347.30905,370.13562,404.85507,431.5219,465.83862,493.86423,520.1808,544.5576,556.5201,557.0923,541.11255,509.8944,478.51508,454.88068,432.57205,395.3237,364.9474,336.7278,311.55286,297.2143,287.7221,275.35928,285.04596,306.96936,320.48007,343.0608,380.9424,412.39343,438.11295,476.5084,508.74866,521.1318,534.5958,539.4973,534.8867,504.95792,475.89093,453.70398,426.41074,391.03027
2483.2554,2323.175,2156.4536,2058.2905,2016.701,2014.2927,2065.6187,2208.846,2292.8086,2479.5288,2714.2544,2949.9917,3217.1318,3315.9678,3303.0552,3246.9048,3182.8098,3064.369,3027.8325,2975.5002,2954.6606,2918.9395,2824.093,2627.1816,2418.738,2234.7952,2072.695,2010.869,1968.6381,1908.7269,2003.195,2120.9424,2189.6316,2368.629,2636.771,2883.7834,3099.994,3224.686,3300.4683,3244.6414,3143.96,3098.0288,3058.5288,2952.8906,2908.8452,2846.6497,2753.7913,2570.6165
2046.0706,1930.0435,1759.5779,1634.6724,1605.5934,1523.1912,1508.0168,1484.262,1512.4308,1580.1111,1624.2435,1665.7249,1739.3804,1812.095,1876.2845,1962.8754,2040.9556,2024.7869,2133.957,2243.3198,2280.4143,2252.9873,2216.7747,2166.8682,2097.6135,1977.4827,1781.0144,1662.62,1600.3417,1509.8473,1489.6185,1475.1792,1526.7528,1530.7404,1555.4242,1650.9313,1747.935,1871.4274,2000.604,2064.1836,2168.5503,2201.584,2341.217,2359.9255,2370.771,2303.8428,2256.6724,2201.2764
