V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
1127.3071,1128.2096,1128.182,1129.6558,1130.5376,1129.7473,1129.4601,1130.0033,1130.122,1130.4509,1128.9398,1130.1974,1130.1074,1130.6168
8575.95,8575.296,8578.363,8577.043,8566.54,8577.86,8586.742,8581.19,8582.877,8584.603,8586.489,8582.354,8585.697,8589.217
1120.4163,1120.0862,1120.4825,1121.4164,1120.8124,1120.8052,1120.8479,1121.633,1121.4413,1121.1891,1121.8291,1121.6388,1121.6669,1121.5454
10173.4,10171.928,10168.724,10179.76,10173.035,10179.316,10171.693,10178.536,10190.794,10175.973,10170.28,10171.305,10157.369,10174.526
1009.5999,1010.26215,1009.8851,1008.9306,1008.9387,1008.91583,1009.245,1008.76556,1009.89844,1009.27576,1009.6879,1010.29016,1009.0245,1009.963
10472.996,10477.673,10476.453,10492.008,10496.97,10490.301,10488.947,10494.571,10494.64,10493.189,10483.277,10489.37,10486.02,10490.574
11076.16,11082.102,11081.086,11096.127,11105.014,11099.233,11096.312,11102.672,11102.396,11103.362,11091.996,11103.625,11100.572,11103.907
9933.353,9934.457,9931.556,9933.714,9935.752,9936.079,9928.333,9927.889,9943.906,9931.143,9920.911,9928.48,9910.925,9929.558
1024.1218,1023.96625,1023.66315,1024.3629,1024.4348,1024.6769,1023.8947,1023.9741,1025.4032,1024.0891,1023.44775,1023.85706,1022.12946,1024.061
2898.0635,2892.3525,2890.651,2898.3706,2890.6335,2895.1685,2901.631,2902.084,2899.3533,2898.9365,2902.1262,2898.3203,2900.0984,2899.2485
1107.2355,1107.2125,1107.4072,1108.095,1107.7052,1107.6853,1107.7631,1108.4331,1108.181,1108.2268,1108.5074,1108.5953,1108.7179,1108.52
2818.4844,2818.5981,2820.1045,2820.0251,2820.3462,2819.6306,2818.6975,2820.4495,2818.8423,2820.4385,2819.8567,2819.8647,2821.8367,2823.4348
1076.7876,1077.4336,1077.3973,1077.5134,1077.1062,1077.8334,1078.6245,1078.2792,1078.2012,1078.3945,1079.1512,1078.9083,1078.8398,1078.742
10534.251,10534.309,10537.149,10543.441,10536.127,10535.716,10537.845,10542.691,10541.152,10541.117,10539.866,10537.751,10541.216,10541.944
1715.7948,1716.191,1715.662,1716.1196,1716.3013,1716.8784,1717.1696,1717.5723,1718.6947,1717.513,1718.205,1717.1558,1717.5165,1717.5757
1676.046,1675.2052,1674.8774,1677.6906,1676.4635,1677.1843,1678.597,1678.6985,1677.6193,1677.6267,1678.3826,1677.2639,1677.3077,1676.0562
4910.415,4917.1343,4918.7837,4918.835,4928.0015,4920.7515,4915.6343,4917.691,4922.033,4924.583,4915.83,4923.6997,4923.209,4931.433
4071.2097,4071.0222,4073.2107,4074.377,4075.8135,4074.7764,4077.8083,4079.3655,4083.0498,4084.8284,4094.2498,4094.6335,4092.6033,4092.6196
3668.793,3681.4055,3677.474,3668.4385,3669.1626,3664.807,3668.5796,3668.487,3671.4985,3673.5618,3662.5437,3667.3628,3673.401,3673.8232
5662.6455,5675.8794,5667.696,5663.027,5671.9893,5662.013,5671.616,5658.296,5670.7246,5665.2603,5659.0,5662.4253,5657.0435,5670.8843
4707.725,4705.7344,4706.504,4713.252,4716.739,4717.209,4713.1436,4715.8516,4716.551,4718.3794,4716.2764,4722.1533,4723.127,4722.502
1056.8021,1058.1445,1059.2032,1063.2876,1066.877,1064.6205,1060.5377,1061.8866,1065.6628,1064.887,1054.7109,1065.4921,1066.0966,1069.5985
3550.1494,3554.381,3554.1235,3554.1995,3553.042,3553.6729,3569.052,3562.242,3557.9827,3567.0305,3566.925,3574.3193,3581.5781,3577.9648
1395.2397,1402.7639,1401.2538,1395.7213,1401.622,1398.6768,1400.1525,1399.5153,1406.3081,1403.108,1403.9481,1408.3145,1403.47,1406.1769
5152.396,5166.382,5155.4595,5160.4424,5164.8047,5161.8228,5176.3657,5164.064,5178.501,5171.4165,5160.3965,5162.6255,5157.874,5163.2944
5530.336,5530.9287,5533.3213,5528.6562,5522.3423,5523.964,5521.5317,5528.2646,5522.3115,5522.8374,5521.782,5519.1543,5523.3345,5524.064
3957.2004,3964.933,3961.8704,3959.0166,3960.1755,3954.9597,3960.2693,3959.521,3962.7722,3959.8308,3956.738,3961.58,3958.5684,3962.9006
4024.0776,4033.722,4032.1958,4029.573,4030.4043,4025.5317,4030.046,4030.0474,4030.451,4033.287,4031.0022,4029.2349,4036.7659,4038.685
2530.3247,2531.991,2531.0957,2530.695,2529.6936,2531.0447,2533.2866,2531.8118,2532.42,2533.3672,2534.5269,2534.4006,2533.55,2533.2458
1920.6333,1920.3256,1919.8448,1920.9138,1920.5881,1920.7687,1922.3652,1921.5577,1922.9827,1923.3737,1922.3892,1921.65,1921.961,1922.4521
1017.56165,1018.3835,1018.04675,1017.2295,1017.5792,1017.44904,1017.9035,1017.5114,1018.7272,1018.1485,1018.93353,1019.55853,1017.96716,1018.8917
1671.5258,1670.9795,1671.2542,1673.4734,1673.0706,1672.5536,1673.2516,1674.8444,1674.0431,1673.7212,1674.7582,1674.7256,1675.2257,1674.5912
1641.0093,1640.7852,1640.2512,1638.8364,1638.2368,1638.3408,1638.1892,1637.967,1638.6927,1638.0396,1636.9633,1637.3992,1637.7762,1637.8212
1806.3851,1807.7589,1807.4838,1808.3156,1808.9591,1808.1034,1806.3396,1807.8555,1808.1044,1807.4414,1805.2117,1807.0588,1806.1002,1807.6821
1936.454,1936.5469,1936.8994,1937.6918,1937.9591,1937.7986,1936.9105,1937.8357,1937.3666,1937.0746,1936.3934,1937.2745,1937.7756,1938.5991
3195.6375,3184.8113,3189.9634,3196.5945,3188.2703,3192.3093,3196.4834,3197.5315,3196.0496,3195.5781,3203.3079,3196.966,3198.399,3196.618
9876.574,9888.95,9886.392,9876.896,9885.764,9883.515,9888.594,9887.642,9899.671,9895.36,9905.947,9915.062,9897.592,9903.263
2496.9302,2499.0068,2497.9736,2499.6511,2499.5474,2498.5957,2496.9636,2499.0117,2499.7476,2498.2058,2495.7817,2498.0432,2496.4836,2498.3054
1562.3744,1563.684,1563.304,1562.4956,1561.8363,1562.653,1564.2717,1563.2712,1563.6371,1564.195,1565.2526,1565.252,1564.8828,1564.5902
1107.6968,1108.2917,1108.2311,1109.7262,1110.6058,1110.0017,1109.7545,1110.3334,1110.3839,1110.5085,1109.3467,1110.6367,1110.2373,1110.5928
2927.6658,2922.74,2921.427,2927.88,2920.5942,2924.9456,2930.2437,2931.608,2928.3796,2928.2576,2931.6143,2928.3445,2930.5916,2929.3127
1726.8306,1725.5181,1725.2933,1726.5479,1725.4713,1726.5043,1726.7461,1726.3046,1727.0846,1726.2849,1726.1698,1725.8301,1725.5908,1726.1559
6324.9688,6317.938,6311.848,6308.4834,6273.959,6305.8535,6349.478,6332.995,6333.46,6335.3545,6353.8716,6337.788,6343.224,6339.338
7096.7,7077.9785,7074.2007,7094.5405,7091.431,7102.811,7099.172,7115.676,7110.9663,7097.2397,7110.3145,7115.3164,7103.2285,7104.8975
2147.0288,2153.2617,2156.0312,2157.5344,2164.3665,2160.5254,2155.8281,2159.4631,2160.9397,2161.3572,2159.1235,2166.7395,2162.7,2168.7659
2242.9011,2250.4673,2253.5322,2255.382,2263.0178,2258.6506,2253.0906,2257.4402,2258.824,2259.2766,2256.275,2265.344,2261.3118,2267.7588
2037.533,2039.4878,2042.2504,2044.745,2048.332,2046.7627,2042.9293,2046.022,2047.3922,2046.0553,2045.7601,2048.9126,2045.8337,2049.8997
2048.6401,2051.1384,2052.9822,2055.8176,2059.7275,2057.9788,2054.4946,2056.9062,2057.4136,2056.6235,2055.5715,2059.1423,2056.188,2060.324
2046.8375,2050.078,2053.4438,2055.1528,2059.7258,2057.4563,2053.6733,2057.2104,2058.803,2058.3987,2058.0618,2062.633,2059.2036,2063.729
2067.773,2070.5642,2072.5938,2075.0493,2078.926,2077.2185,2073.9065,2076.4207,2077.351,2076.7786,2075.3584,2079.4106,2076.2598,2080.3616
2311.5295,2318.6653,2321.2498,2324.809,2332.7156,2328.2676,2321.9443,2327.002,2327.555,2326.859,2325.2534,2334.1755,2329.0398,2336.1548
2146.1064,2148.7527,2150.8958,2153.8347,2157.7114,2156.121,2152.7227,2155.3157,2156.8608,2155.8647,2154.3408,2158.5972,2155.4263,2159.4478
2120.1338,2122.352,2124.6733,2127.6575,2130.9685,2129.7527,2126.2322,2129.0352,2130.322,2129.1165,2127.7563,2131.3025,2128.53,2132.3872
2037.7992,2039.7395,2042.8832,2045.0756,2048.6787,2047.3386,2043.0472,2046.3445,2048.1128,2046.1746,2046.8182,2049.337,2045.9937,2049.9502
2093.9612,2096.7566,2098.8438,2101.304,2105.2065,2103.5747,2100.2324,2102.74,2104.2983,2103.5332,2102.017,2106.2158,2103.0042,2106.9785
1903.8903,1907.1654,1908.4088,1913.1422,1918.6136,1916.5242,1911.7361,1914.8103,1916.4242,1916.1027,1915.1882,1921.963,1918.2816,1921.823
9957.44,9968.089,9979.214,9975.935,9976.579,9973.366,9979.143,9979.978,9985.776,10007.879,9981.93,9984.875,10001.614,10005.207
928.26636,929.3134,930.22894,931.1952,932.9165,931.24646,929.7499,931.1634,931.8727,931.9164,930.7515,932.91235,932.672,933.904
11973.706,11992.932,12005.106,12017.272,12036.353,12027.944,12031.88,12043.651,12049.052,12039.893,12069.663,12080.408,12065.391,12062.819
1620.04,1622.3147,1623.9559,1625.7719,1628.0555,1627.3232,1628.0438,1629.5627,1630.166,1628.8258,1633.2513,1634.2013,1632.486,1631.6854
7172.4883,7175.2944,7181.6157,7180.077,7175.8066,7173.318,7181.295,7190.813,7179.2397,7187.593,7193.238,7189.019,7194.1416,7189.785
9239.167,9245.271,9243.77,9235.849,9239.647,9235.778,9235.514,9231.718,9235.467,9235.585,9229.318,9232.918,9226.227,9234.706
11069.954,11070.3125,11066.946,11062.328,11056.882,11060.953,11064.476,11058.709,11072.392,11073.893,11050.379,11049.807,11055.088,11065.918
958.4065,958.52,958.4521,957.5314,956.95996,958.0995,958.99713,957.9079,960.2159,960.4509,959.4187,959.2316,957.9819,959.40533
950.99194,950.5809,950.3572,950.0956,948.4646,950.0481,951.1115,949.72675,951.4377,951.68884,950.4458,949.38904,948.90295,950.276
1312.5597,1312.1884,1313.2053,1313.5217,1312.4249,1313.3,1313.0961,1314.2322,1313.5365,1313.5596,1314.3976,1314.6705,1314.467,1313.1523
1259.7006,1259.3374,1260.3197,1260.6132,1259.5387,1260.382,1260.2306,1261.3345,1260.612,1260.6046,1261.5494,1261.8143,1261.5742,1260.2452
1330.6915,1330.2559,1331.2769,1331.6816,1330.5303,1331.4387,1331.304,1332.3773,1331.6896,1331.7991,1332.5485,1332.7924,1332.6187,1331.3506
9224.148,9209.558,9216.3955,9231.418,9211.521,9218.475,9235.279,9246.131,9235.207,9242.295,9255.852,9241.026,9240.918,9238.36
6959.069,6948.7344,6955.0854,6964.677,6950.0923,6955.024,6966.704,6976.1885,6968.0,6974.764,6985.05,6974.114,6974.6963,6972.0366
7465.658,7453.935,7460.52,7471.2783,7455.178,7461.1025,7474.196,7484.0913,7475.659,7482.3975,7493.6187,7480.9707,7481.6265,7478.709
6748.9663,6773.822,6799.5684,6776.0728,6786.1426,6774.054,6779.5215,6779.895,6794.1357,6830.0107,6822.5625,6820.3594,6835.257,6862.7354
8430.677,8486.113,8490.386,8490.443,8468.875,8453.625,8463.515,8493.6875,8494.814,8501.621,8503.883,8510.155,8522.436,8534.068
7749.1353,7778.3447,7807.165,7780.511,7792.8643,7778.454,7784.816,7784.8623,7801.563,7842.8076,7834.61,7832.578,7849.171,7880.75
1323.5708,1324.2275,1325.0446,1325.6553,1326.0613,1325.6328,1324.5448,1325.7295,1325.6976,1325.8807,1324.2207,1326.0424,1327.3167,1327.5793
9095.369,9085.923,9097.254,9108.463,9090.473,9099.971,9117.979,9131.363,9105.457,9112.015,9149.711,9127.166,9137.559,9126.096
9037.89,9027.723,9038.752,9050.752,9032.135,9042.068,9060.583,9073.259,9047.406,9054.258,9091.443,9068.2705,9078.863,9067.842
5233.494,5232.6626,5234.1904,5234.6777,5229.2656,5229.5757,5237.823,5241.0684,5239.1636,5243.4424,5246.991,5243.0,5242.5024,5240.491
6914.5376,6913.902,6915.58,6917.2153,6908.566,6909.0254,6919.68,6922.6416,6919.5674,6924.3364,6928.8022,6923.491,6922.738,6922.047
5610.815,5609.826,5611.2085,5612.208,5605.8306,5606.381,5614.8125,5617.685,5615.651,5619.749,5623.5425,5619.2983,5618.5093,5617.199
9552.484,9564.359,9576.112,9571.309,9572.835,9569.438,9574.987,9577.19,9582.719,9605.261,9579.455,9583.953,9600.413,9603.133
1120.661,1121.6115,1122.64,1122.3362,1122.1886,1122.1163,1122.8899,1122.6268,1123.1964,1125.5684,1122.587,1122.837,1124.7,1124.9332
630.1952,627.9956,629.10754,631.0956,629.53265,629.90656,630.5155,631.2787,629.6675,629.38586,631.9097,630.7269,631.087,629.8913
954.21234,954.7606,955.2935,955.8712,957.3008,955.8626,954.8539,955.6289,955.88684,956.189,954.8067,957.44794,956.77875,958.06573
10700.842,10712.864,10720.171,10730.933,10740.639,10734.472,10731.977,10735.893,10741.596,10740.608,10739.475,10754.162,10756.204,10757.549
1811.4764,1813.9298,1817.8691,1819.8394,1819.1552,1818.9219,1818.7307,1824.4395,1820.5835,1828.0305,1829.8479,1827.8081,1831.4098,1837.5975
11712.662,11743.85,11772.29,11829.379,11776.894,11827.133,11837.637,11889.235,11822.467,11922.649,11896.294,11833.42,12010.324,12092.832
5981.567,6008.7217,6016.489,6003.5806,6014.315,5996.3315,5992.1226,6013.0933,6004.9644,6018.087,6014.495,6023.608,6027.017,6041.3125
11003.223,11043.214,11079.319,11046.226,11044.967,11037.654,11034.059,11063.097,11052.334,11111.05,11085.112,11115.57,11154.3,11153.413
10989.837,10991.615,10989.487,10987.712,10982.157,10993.9375,10994.084,10990.185,10996.865,10992.376,10988.496,10991.637,10995.332,10992.098
8012.4526,7983.8975,7989.206,8016.246,7995.908,8030.1284,8046.6616,8044.9424,8024.187,8021.615,8043.0225,8038.336,8035.669,8021.2534
893.2162,889.46014,886.5895,885.9978,874.78424,875.16943,891.552,886.41,884.46924,874.20953,891.87573,903.82227,892.4845,886.266
8006.2915,8004.161,8011.0166,8022.246,8004.672,8028.4927,8025.8467,8008.0796,8042.0557,8050.8555,8029.126,7978.0464,8001.6187,8051.016
3013.6821,3028.2476,3029.4697,3006.6184,2959.9795,2983.6343,3031.7673,3010.6162,2980.8076,3041.8975,3023.8557,2986.9834,3054.237,3060.4023
2953.2139,2970.1677,2969.0068,3004.872,3006.9219,2962.6267,3009.706,3031.6719,3004.2358,3005.6125,3053.2966,3008.7825,3013.2163,3044.8274
3020.0388,3037.205,3028.63,3011.976,2967.5754,2952.5054,3015.79,3060.8682,3043.2534,3049.699,3114.8447,3069.4639,3068.2456,3075.6973
6999.033,6991.641,7000.2725,7017.9336,7000.649,7017.135,7045.1685,7034.726,7028.1113,7032.4863,7053.4263,7040.8047,7037.5312,7035.6553
4504.4775,4474.1406,4471.7393,4503.329,4482.8545,4517.213,4531.4253,4527.3022,4516.033,4510.1323,4529.94,4532.5674,4523.5586,4500.3154
1161.9783,1163.3932,1163.2284,1163.4403,1164.2733,1163.1565,1162.7177,1163.0378,1163.8696,1163.5001,1162.3315,1163.5813,1163.0934,1164.1862
1266.9982,1268.6045,1268.5466,1268.7687,1269.7583,1268.4519,1267.8767,1268.2632,1269.1802,1268.7819,1267.3997,1268.8885,1268.3907,1269.6227
1243.66,1245.2278,1245.1398,1245.356,1246.2534,1244.9941,1244.4484,1244.8533,1245.7037,1245.3417,1243.9363,1245.3397,1244.896,1246.1274
6494.4756,6494.004,6501.1377,6510.591,6517.8696,6515.846,6510.649,6513.1465,6513.3433,6520.5605,6511.2944,6525.134,6522.5757,6523.5605
8138.7056,8139.726,8148.058,8160.2236,8170.7197,8166.828,8158.9414,8162.1616,8162.6177,8171.7793,8158.23,8176.773,8173.145,8177.372
349.5216,349.31482,349.2024,349.42227,348.31824,348.43002,349.70743,349.7317,349.2395,349.51367,349.36035,349.15417,348.68195,348.87976
581.5184,581.50146,581.5747,583.44653,583.94116,582.9622,581.45233,583.11664,583.6842,582.2596,580.152,582.23254,582.43146,582.8688
12425.805,12414.186,12415.794,12425.535,12416.909,12433.913,12428.92,12437.42,12444.523,12448.773,12438.651,12422.773,12433.466,12438.395
10204.366,10237.577,10232.894,10221.181,10224.442,10218.711,10212.432,10204.416,10226.209,10229.074,10178.167,10196.14,10221.355,10228.739
1512.8556,1513.9509,1513.9703,1514.4108,1514.7805,1513.5312,1512.909,1514.8356,1514.0848,1513.8373,1513.0985,1513.8759,1513.2285,1514.2927
6357.694,6362.4863,6362.363,6364.0825,6365.446,6360.663,6357.9473,6365.7227,6362.325,6361.21,6358.416,6361.2617,6358.6895,6362.882
7411.931,7409.7256,7416.4023,7417.4805,7418.6787,7419.4126,7418.1646,7420.8823,7423.0215,7425.956,7416.186,7422.3223,7425.0806,7422.611
10560.702,10561.19,10572.076,10570.211,10576.072,10573.794,10574.69,10580.19,10588.345,10597.226,10582.096,10600.712,10600.442,10597.438
10125.035,10141.441,10156.252,10159.103,10174.929,10183.344,10197.068,10210.344,10211.056,10231.8955,10258.988,10270.3955,10269.383,10256.117
13514.829,13514.16,13515.213,13518.748,13510.406,13522.774,13522.5,13506.765,13517.218,13523.675,13502.281,13508.51,13508.375,13513.052
20191.781,20106.908,20146.305,20261.03,20160.404,20219.709,20269.293,20332.201,20266.824,20287.012,20367.764,20328.238,20374.246,20296.92
24683.006,24684.26,24688.61,24691.988,24704.336,24690.904,24698.807,24713.889,24711.11,24713.094,24721.45,24731.025,24701.947,24717.564
1245.175,1246.9388,1246.4987,1245.1713,1245.3143,1241.8815,1243.0626,1245.1624,1243.2096,1241.1995,1242.4642,1243.7489,1242.3999,1243.2085
7332.839,7323.5977,7323.512,7339.506,7342.4062,7344.631,7331.655,7333.261,7351.4307,7338.9253,7324.615,7344.777,7329.951,7343.2827
13735.957,13757.069,13756.903,13765.052,13779.457,13769.532,13768.4,13770.37,13767.972,13784.108,13765.345,13788.606,13792.44,13801.4795
22203.91,22217.33,22234.602,22228.879,22234.807,22225.979,22229.928,22255.238,22251.223,22280.889,22263.268,22268.424,22275.695,22284.3
20571.826,20609.346,20604.383,20588.684,20593.918,20572.053,20569.977,20563.254,20581.865,20572.984,20541.783,20552.395,20561.146,20584.621
17609.107,17627.67,17651.305,17641.879,17655.127,17634.467,17633.518,17647.955,17638.414,17663.994,17652.672,17674.957,17689.059,17683.135
9773.23,9764.573,9765.276,9772.839,9771.047,9778.223,9775.128,9768.819,9772.594,9765.85,9774.131,9767.595,9766.46,9774.53
10435.559,10426.323,10427.058,10435.145,10433.276,10440.921,10437.666,10430.828,10434.926,10427.823,10436.572,10429.682,10428.414,10437.082
3371.8215,3376.6025,3398.9622,3445.2732,3471.3228,3426.9907,3398.4863,3449.5078,3442.8582,3444.4365,3426.125,3469.505,3468.7236,3488.9927
6003.5254,6127.338,6165.621,6130.436,6190.665,6101.958,6048.203,6123.5713,6140.8813,6203.956,6071.1475,6196.366,6258.5273,6339.666
1149.4226,1149.9099,1150.2565,1150.3922,1149.5508,1150.5955,1153.2892,1151.4525,1152.0492,1153.0875,1154.4199,1153.3556,1152.6533,1153.7883
1149.3871,1148.3857,1148.5587,1150.134,1147.7036,1148.3062,1150.821,1150.4606,1150.4204,1150.6516,1151.954,1150.5712,1152.2196,1150.3097
8618.291,8615.761,8613.64,8616.136,8607.208,8609.766,8619.819,8619.643,8617.79,8617.098,8622.458,8612.262,8617.766,8617.934
8755.887,8758.326,8753.981,8752.335,8745.9375,8750.01,8759.591,8757.106,8755.569,8758.099,8761.685,8751.291,8758.969,8760.875
8616.882,8617.91,8616.062,8614.608,8609.127,8612.215,8620.71,8618.459,8616.678,8618.762,8622.108,8615.833,8622.658,8622.929
8753.376,8757.339,8754.932,8749.439,8746.963,8748.925,8756.527,8753.413,8751.317,8756.711,8758.804,8752.893,8762.261,8763.169
1036.2789,1036.86,1036.8988,1037.1158,1037.0787,1037.0096,1036.9342,1036.8481,1036.782,1036.664,1035.9963,1036.6724,1036.8845,1037.0831
1045.0221,1045.464,1045.2983,1045.478,1046.2295,1045.9753,1045.8844,1045.5204,1045.7905,1045.8405,1045.281,1045.9662,1045.9258,1046.0847
10263.661,10288.5205,10285.494,10278.267,10290.088,10272.343,10268.003,10270.503,10276.081,10284.079,10255.093,10278.169,10279.452,10296.191
10194.084,10222.345,10217.975,10212.315,10219.694,10200.979,10198.1455,10205.907,10206.313,10215.756,10184.061,10203.536,10210.687,10225.549
10235.347,10261.736,10254.815,10250.943,10263.066,10244.682,10240.524,10244.42,10249.848,10252.399,10228.87,10248.259,10247.086,10265.454
6256.0884,6255.9697,6254.49,6254.735,6258.604,6259.1157,6260.494,6258.9126,6265.5874,6261.972,6255.843,6261.728,6259.9272,6255.8877
