V1,V2,V3,V4,V5,V6
3843.9756,3922.082,3996.6243,4064.1938,4103.3955,4162.556
4739.587,4856.7,4977.803,5071.6245,5125.1343,5180.046
14736.433,14955.879,15157.586,15306.949,15346.316,15447.051
5884.3125,6192.0073,6553.8457,6860.879,7151.2734,7458.1816
2931.7637,3067.8389,3221.0264,3351.7905,3474.8374,3594.067
10190.488,10505.676,10843.879,11125.702,11355.904,11575.76
10126.938,10376.445,10645.586,10864.345,11036.879,11195.146
6477.495,6768.829,7133.6787,7454.7793,7862.8115,8181.213
6391.542,6777.9155,7197.2617,7544.7305,7835.7754,8146.6475
6843.3584,6832.1436,6807.4023,6812.5806,6808.99,6791.843
2518.3042,2538.1042,2559.816,2578.783,2599.301,2616.9314
18625.125,18819.074,19028.05,19207.473,19354.684,19497.15
8186.8687,8246.209,8304.692,8352.004,8390.085,8420.913
18142.566,19249.04,20604.566,21764.05,22911.332,24171.217
20597.484,22651.959,25213.324,27341.082,29463.184,31954.094
9027.948,9773.937,10620.791,11309.631,11883.083,12549.342
2807.2378,3036.535,3309.8076,3542.4792,3758.589,4000.042
12304.328,13449.699,14785.82,15899.701,16930.363,18119.816
2128.9258,2241.9346,2373.286,2478.9097,2575.1765,2684.416
10101.857,10375.637,10658.969,10879.705,10989.198,11097.985
10040.327,10158.713,10289.232,10389.404,10474.368,10550.086
10112.981,10352.379,10612.323,10821.433,10978.396,11130.451
9985.688,10112.657,10248.896,10329.906,10374.595,10389.58
10334.952,10867.367,11269.57,11703.678,11778.936,11788.34
10390.235,10862.24,11330.053,11662.54,11850.898,12132.515
13495.831,13892.523,14342.556,14704.1,15103.153,15462.094
10577.618,11032.806,11551.236,11929.971,12263.866,12553.745
10263.93,10671.992,11115.973,11462.746,11731.676,12065.315
10013.128,10101.363,10168.656,10246.734,10261.851,10277.435
10024.967,10060.591,10077.822,10117.747,10107.447,10110.209
10166.272,10397.684,10637.67,10841.13,11020.318,11178.124
9956.708,9981.325,9993.1,10012.344,9995.357,10011.79
10064.668,10231.16,10383.229,10574.551,10582.266,10595.596
10438.668,10839.311,11310.921,11719.326,12118.389,12542.057
10177.38,10253.076,10325.212,10379.757,10453.92,10536.476
10054.206,10159.804,10253.388,10394.584,10443.026,10571.283
10095.066,10153.607,10213.658,10294.876,10338.83,10422.504
10116.259,10224.22,10345.658,10452.131,10534.647,10626.704
10247.697,10518.311,10838.034,11086.246,11307.438,11543.484
9837.183,10200.594,10587.116,10904.326,11116.982,11314.891
4834.1543,4895.042,4881.1255,5009.7188,4953.8086,4964.228
4017.5676,3933.8228,3770.4958,3887.1936,3892.9053,3936.853
4502.922,4707.413,4938.714,5136.4956,5320.073,5500.3345
10611.241,10663.799,10636.214,10731.46,10737.666,10607.146
9539.594,9914.768,10335.148,10703.9375,11033.036,11296.228
3723.258,3723.8376,3722.9888,3721.0046,3724.311,3724.745
1597.7922,1636.0386,1677.5309,1709.2924,1742.9392,1784.012
2548.4397,2588.8372,2621.5166,2657.2795,2679.516,2667.4622
10032.072,10093.472,10101.507,10223.983,10297.363,10186.951
9560.196,9487.197,9335.917,9377.582,9410.797,9393.452
977.679,1153.1437,1329.259,1573.3779,1636.1381,1772.762
6238.161,6231.133,6184.8096,6156.8447,6120.939,6215.943
8001.673,8134.7666,8284.307,8378.983,8433.474,8533.938
1715.8992,1724.1138,1708.052,1743.8044,1718.339,1708.0483
8065.318,8078.431,8083.7637,8096.3394,8085.5874,8095.819
6715.6875,6710.997,6701.5283,6703.5312,6703.3643,6698.6133
6491.0225,6497.1997,6501.0312,6511.499,6510.1895,6525.929
7361.8096,7395.141,7425.912,7447.1665,7470.603,7495.507
6436.409,6472.28,6505.812,6531.426,6536.738,6554.903
8724.334,8735.975,8728.064,8746.264,8750.6,8749.22
8102.663,8137.0127,8165.593,8181.9766,8200.461,8216.141
8366.46,8319.514,8242.06,8244.002,8268.405,8261.921
1617.3546,1641.333,1663.1766,1684.4143,1675.0675,1721.4377
8918.68,8959.766,8983.465,9021.577,9025.767,9013.358
3642.4534,3679.3462,3718.573,3732.3616,3749.127,3768.5596
1785.8077,1795.4026,1803.6171,1809.0629,1821.6448,1829.6188
2092.4246,2091.9346,2088.1375,2092.1619,2090.4646,2092.2578
2133.649,2165.1492,2190.7205,2206.4436,2224.451,2244.9463
3084.4922,3071.8118,3043.3604,3051.7952,3046.2834,3051.443
1259.692,1260.9373,1245.3496,1264.7168,1253.886,1281.4163
2496.0005,2498.0723,2484.007,2488.466,2492.5508,2497.3875
2027.6425,2037.585,2041.5299,2057.2498,2053.4849,2060.304
2660.5688,2651.3376,2632.0625,2634.319,2633.4053,2664.7234
1239.2229,1241.6625,1236.6432,1238.3667,1238.5221,1255.3756
1819.0658,1818.8076,1816.4749,1821.6528,1823.3636,1822.5641
1905.252,1898.9985,1881.438,1884.9255,1889.8411,1886.2578
1624.2522,1626.1093,1626.9153,1628.0466,1626.0154,1632.9769
2168.2788,2173.0886,2170.1768,2177.8438,2176.034,2184.132
2138.3984,2141.116,2128.6204,2139.261,2125.343,2175.0442
1757.2765,1734.4393,1695.8339,1693.3467,1716.4032,1720.8253
2480.221,2472.43,2459.5112,2458.2231,2461.7827,2466.0034
2092.96,2148.3254,2218.1658,2295.9321,2343.7292,2433.754
3793.8545,3817.151,3830.6877,3845.5366,3856.859,3950.729
2245.5176,2258.407,2264.7524,2274.152,2293.231,2309.9558
2394.6797,2429.025,2470.8977,2496.7532,2520.687,2555.433
2450.0269,2467.6174,2482.914,2483.2898,2490.807,2521.2932
8015.4976,8007.101,7987.6836,7999.587,8003.054,8001.799
4272.73,4317.584,4344.045,4386.3335,4365.486,4402.5825
6988.5605,6983.302,6964.569,6972.1577,6971.635,6969.5796
9462.496,9486.664,9506.692,9494.742,9508.961,9533.117
3471.3372,3420.143,3336.147,3331.0312,3365.3853,3324.3037
6772.458,6782.756,6787.63,6796.138,6794.863,6797.5083
8249.355,8256.405,8256.99,8266.907,8259.537,8264.211
7247.5215,7247.055,7244.683,7247.5146,7247.525,7250.068
4952.583,5196.8066,5453.1895,5679.6514,5882.448,6096.311
10847.349,11295.432,11822.154,12261.436,12661.455,13098.078
8805.458,9248.298,9785.249,10215.772,10591.472,11066.178
3392.1167,3603.865,3833.5894,4017.4153,4158.3794,4301.4355
3356.2996,3450.1973,3563.3433,3666.3677,3791.4307,3896.003
11679.191,11912.319,12157.837,12340.814,12434.99,12552.359
10334.6455,10758.642,11267.306,11694.296,12079.993,12539.902
6292.4277,6473.157,6682.9033,6859.3926,7027.586,7229.061
4268.371,4484.2803,4720.65,4906.8145,5048.538,5172.246
4782.1416,4813.468,4845.753,4857.0254,4871.608,4905.382
4581.605,4770.1772,4988.156,5179.416,5351.621,5542.0195
5195.8975,5351.227,5534.4814,5675.6357,5802.548,5959.4746
13080.695,13690.154,14380.499,14968.267,15501.346,16097.424
8257.489,8549.761,8873.001,9121.297,9340.247,9592.4
2249.7642,2333.1604,2419.418,2483.9019,2553.9468,2632.9294
6910.07,7043.781,7204.345,7350.7974,7476.5537,7639.507
2920.184,3048.2388,3196.5276,3325.8213,3453.0972,3577.8032
8689.596,8916.739,9179.058,9404.31,9609.678,9824.967
2013.6018,2081.8872,2153.1367,2214.691,2266.3623,2325.903
7983.6416,8141.86,8374.84,8550.436,8629.016,8821.18
10180.701,10649.84,11228.507,11665.521,12011.696,12490.953
3253.3286,3256.3105,3254.395,3273.0623,3267.8066,3299.5356
12358.988,12709.368,13093.07,13423.634,13792.302,14127.486
3342.0334,3451.0327,3580.9448,3694.979,3806.3652,3921.686
3142.3513,3333.141,3543.8906,3715.877,3853.7842,3988.7388
3361.0842,3470.4358,3600.4822,3718.02,3837.7441,3952.415
5372.362,5633.3027,5944.8325,6202.5923,6418.5957,6691.5166
3106.0864,3178.2754,3269.0325,3349.8833,3426.3254,3516.0776
9064.257,9149.636,9231.123,9284.612,9304.821,9323.99
11874.755,12199.008,12570.374,12855.556,13143.563,13429.976
3049.1162,3181.9587,3336.5989,3462.9421,3571.5571,3700.956
7069.235,7158.663,7247.6797,7328.1743,7375.3154,7412.149
9966.833,10337.76,10779.648,11140.218,11432.726,11809.5
15815.469,16736.5,17816.59,18652.094,19218.79,20045.008
13576.29,14007.515,14465.656,14844.701,15137.072,15453.32
3361.5825,3479.8008,3620.6455,3733.162,3837.7659,3971.5874
8700.506,9125.776,9618.061,10020.649,10385.316,10788.984
6467.127,6660.3535,6881.0728,7053.8037,7237.788,7428.9375
3232.4653,3406.4312,3593.9653,3747.7068,3852.7378,3964.234
2151.714,2166.2944,2178.0657,2194.9932,2192.6382,2234.167
18549.371,18918.594,19343.227,19718.365,20046.549,20405.066
3246.304,3338.4458,3436.0066,3524.108,3602.813,3678.2874
3535.6724,3545.262,3554.7832,3562.4897,3573.172,3579.9697
1138.7053,1143.5082,1146.3397,1151.4635,1147.1964,1149.8253
4115.1455,4285.014,4451.8203,4579.667,4643.404,4761.46
1611.8815,1680.0425,1758.2173,1814.5037,1846.0146,1902.1459
1949.7429,1962.4906,1976.2166,1984.0557,1993.3959,2008.0383
4010.6528,4074.4746,4147.0474,4196.541,4237.888,4296.8774
8876.535,9162.221,9484.65,9727.869,9927.66,10159.661
2245.2793,2289.7107,2332.7354,2371.9194,2406.1753,2436.6948
11673.088,11920.871,12215.644,12473.891,12731.593,12994.333
2028.3224,2053.7637,2083.3506,2108.936,2131.691,2156.194
1336.6809,1333.4562,1327.8177,1327.6906,1331.1191,1329.5096
2048.4836,2058.4143,2068.934,2078.1785,2085.8577,2093.3262
4587.2876,4611.754,4637.972,4659.617,4677.64,4694.5737
2223.8965,2222.3413,2219.9631,2219.8767,2221.4832,2220.6042
10025.825,10133.728,10256.185,10364.304,10480.435,10583.46
7892.3174,8177.257,8449.922,8590.805,8622.88,8995.002
4218.1387,4310.107,4414.253,4451.207,4493.6953,4562.818
5405.0312,5442.096,5474.744,5506.9404,5553.338,5636.923
11294.07,11418.463,11598.655,11678.46,11745.1,11986.549
9007.667,9032.029,9095.146,9103.824,9307.35,9413.725
12134.17,12263.211,12393.094,12372.32,12534.38,12644.338
10506.686,10608.373,10740.907,10765.94,10849.126,10995.269
3317.7388,3349.102,3387.8325,3396.7292,3415.9404,3460.0938
5653.989,5654.003,5651.383,5624.4155,5713.348,5793.672
6897.6504,6937.6465,6986.2686,7011.3984,7029.959,7137.76
4537.321,4549.7793,4528.3945,4556.8384,4544.46,4635.561
5015.401,4964.495,4890.2725,4900.1826,4980.825,4971.9854
8460.597,8519.711,8601.227,8627.137,8755.092,8955.932
5422.1074,5516.5464,5583.2847,5643.75,5607.0464,5797.216
11195.719,11321.14,11497.498,11573.791,11680.815,11901.302
3287.2964,3193.5923,3038.8955,3025.462,3089.4927,3071.545
5017.966,5120.145,5254.684,5335.0483,5372.4756,5479.587
3373.4937,3382.418,3386.7283,3406.8467,3395.6594,3445.1836
9275.832,9392.006,9557.446,9624.305,9699.727,9871.381
7402.1816,7518.5347,7685.303,7770.712,7858.522,8028.0767
3095.3806,3107.4614,3125.4,3136.1213,3164.2595,3209.2512
5130.1147,5191.3506,5265.4795,5287.5283,5336.892,5414.0444
4575.1665,4572.7705,4545.076,4570.4453,4571.2544,4657.986
5127.881,5218.797,5250.078,5568.231,5559.539,6127.8467
2922.329,2913.957,2901.4404,2898.0825,2907.536,2919.3938
7649.7627,7675.0923,7692.273,7666.5264,7675.074,7734.6724
5015.1836,5078.3843,5148.9766,5198.4443,5219.45,5329.9653
3041.1035,3059.766,3078.3806,3092.5317,3092.7583,3164.6104
9024.7,9495.692,9996.449,10312.972,10499.121,10992.748
1443.269,1458.4318,1474.9496,1478.3016,1485.3175,1511.712
8253.772,8599.565,9011.686,9362.816,9712.536,10092.809
11168.922,11132.498,11053.502,11084.618,11126.043,11145.572
1532.4247,1548.7603,1569.9583,1575.1589,1587.6615,1613.2361
9044.279,9118.902,9150.378,9111.493,9293.561,9411.078
6963.869,7035.8604,7089.1265,7212.8813,7184.7056,7316.5664
10754.965,10889.889,11102.589,11190.162,11285.316,11544.841
1167.2526,1181.9631,1200.6876,1207.4315,1217.5564,1237.2134
9998.538,10126.139,10305.962,10396.506,10436.284,10658.636
4227.44,4151.786,4014.3076,4020.015,4054.5396,4067.7053
4294.9893,4269.828,4223.767,4235.3667,4233.2056,4241.1943
5047.4688,5000.129,4921.8096,4918.6206,4951.7886,4980.535
1157.3945,1169.9003,1185.3646,1190.3635,1196.3789,1216.8646
5057.93,5144.6143,5243.4106,5304.2715,5372.51,5488.62
6367.4365,6369.1987,6364.7134,6375.4023,6367.122,6373.7383
9873.884,9973.407,10101.096,10142.133,10199.419,10375.538
7447.5625,7425.7964,7393.5225,7410.718,7431.3364,7451.889
7496.7607,7645.42,7834.032,7914.931,7941.0347,8071.4023
7169.271,7228.146,7284.9385,7293.3765,7314.235,7360.8506
3880.4504,3904.891,3937.433,3947.125,3964.5251,4036.9575
3494.9832,3540.2,3592.058,3611.1821,3634.1416,3697.428
3881.6733,4112.075,4367.4253,4591.5596,4806.376,5018.836
7195.0557,7616.7617,8108.716,8538.316,8940.308,9404.105
2578.2175,2589.403,2588.6167,2610.5842,2626.816,2640.168
4019.3545,4042.527,4060.928,4077.9116,4079.2847,4087.6938
19315.762,20001.998,20763.87,21394.78,21919.152,22516.258
14537.454,15141.547,15760.463,16238.617,16640.15,16961.46
9740.353,10173.586,10657.346,11089.074,11422.768,11947.559
9101.936,9591.893,10164.855,10645.559,11075.244,11566.406
6231.928,6414.975,6626.508,6778.885,6891.421,7060.4263
17317.717,18154.91,19214.498,20078.754,20906.93,21904.234
4114.994,4279.449,4464.477,4626.19,4775.6333,4920.9087
3281.4956,3497.3237,3744.462,3949.0342,4125.747,4332.271
12225.53,12733.652,13304.027,13784.743,14230.278,14678.27
11747.835,12344.973,13037.39,13620.246,14138.605,14717.119
10235.277,10260.216,10283.332,10295.312,10297.38,10309.818
9602.748,9655.824,9711.14,9759.497,9793.948,9837.347
10003.974,9987.641,9954.176,9972.434,9985.383,9987.28
8609.928,8579.783,8517.847,8539.279,8537.956,8525.473
4608.884,4719.361,4851.1807,4933.7065,5012.4233,5123.287
7217.4844,7276.7085,7345.684,7403.135,7450.693,7519.6074
10281.191,10677.468,11099.115,11424.226,11656.932,12025.55
3657.028,3735.093,3810.521,3865.5742,3897.627,3955.4282
1989.6432,1991.7662,1990.2056,1986.1693,1993.0421,2004.0333
7311.3555,7472.2983,7630.254,7770.008,7852.698,7949.829
3257.7095,3350.5364,3453.0134,3543.2686,3625.4893,3713.202
4223.368,4261.6494,4299.22,4330.613,4361.328,4381.59
1132.9513,1136.3938,1138.2527,1142.6576,1139.2462,1141.577
3190.8584,3204.3657,3219.1768,3226.8423,3227.6992,3239.5198
2273.2656,2284.6924,2295.6602,2307.5583,2312.3672,2325.502
12474.287,12813.379,13176.71,13460.651,13723.579,14001.938
6960.869,6946.7324,6917.128,6948.6436,6949.954,6964.593
2620.7705,2694.6597,2783.6396,2859.0312,2931.6167,3019.304
1980.6718,2011.6274,2040.3062,2063.0823,2077.0012,2096.721
10464.734,10688.043,10938.967,11138.929,11243.257,11429.212
4314.049,4373.3086,4439.9404,4482.767,4528.6973,4589.0186
9716.515,9878.696,10058.085,10195.192,10291.914,10380.923
13327.646,13754.818,14190.721,14533.67,14791.969,15170.904
7012.935,7203.9717,7433.463,7615.109,7733.499,7921.3887
1681.0237,1736.6257,1798.552,1851.0624,1899.6272,1946.2578
2278.994,2347.7483,2428.7983,2499.8955,2584.4014,2654.927
8171.329,8114.8286,8020.616,7995.119,8029.9053,8030.713
4776.1455,4973.58,5147.825,5308.659,5459.7266,5575.1787
3801.582,3810.855,3789.9617,3806.1104,3811.7095,3845.3604
1972.7222,2026.5667,2090.7427,2146.1162,2197.1538,2253.541
998.9737,994.4594,986.21936,988.85486,990.08,991.17725
2648.2808,2708.437,2773.4053,2830.3784,2892.6846,2937.6743
2333.2852,2456.332,2606.12,2732.0522,2859.5747,2995.5496
6905.574,7014.071,7117.1143,7090.0615,7169.5957,7251.0483
4813.3955,5030.43,5293.5596,5511.206,5716.9443,5959.3086
8212.639,8355.476,8504.914,8628.914,8733.01,8832.284
8696.405,8980.057,9334.595,9604.484,9817.258,10114.371
3655.349,3731.4556,3816.1697,3888.1494,3962.5105,4030.87
10968.607,11267.02,11618.385,11933.688,12224.139,12545.442
4171.3887,4435.208,4736.7334,4991.3984,5213.6343,5465.8716
3117.689,3161.114,3213.276,3263.2397,3326.4177,3369.6753
7491.748,7440.973,7315.616,7331.3467,7373.1665,7373.7324
4016.1924,4082.7344,4163.356,4216.038,4261.7134,4325.5283
1127.4375,1129.3401,1131.2207,1131.536,1132.685,1134.6455
10464.526,10693.023,10950.347,11156.568,11266.81,11457.691
8673.482,8806.58,8960.302,9052.702,9054.677,9191.578
6969.3076,7108.788,7293.5312,7436.537,7542.618,7694.1445
9068.689,9215.163,9382.059,9489.947,9551.598,9689.825
8213.613,8251.253,8273.538,8332.677,8342.655,8420.207
1072.1467,1081.5887,1088.9847,1095.2722,1100.6838,1107.3308
4557.472,4564.7886,4567.7554,4569.25,4566.813,4577.2207
1718.0176,1718.3667,1714.3539,1718.3218,1714.7848,1723.2957
7442.4766,7458.1675,7465.138,7488.1953,7472.618,7517.6826
3316.8992,3398.5928,3493.6123,3571.2432,3624.8398,3697.69
2441.7336,2434.123,2420.5435,2416.5266,2420.473,2421.8494
3756.2085,3786.696,3817.7585,3817.649,3856.5793,3877.0493
4053.5452,4132.1533,4226.6226,4292.1313,4341.4,4417.242
4786.2007,4790.892,4791.6743,4799.1997,4795.4487,4795.298
1404.7906,1406.4426,1409.2255,1415.3218,1412.5931,1422.239
2077.081,2116.376,2165.4194,2193.529,2206.3713,2242.7585
1721.9,1722.5084,1720.4476,1725.7957,1722.3618,1732.9294
2115.9934,2110.6584,2092.8801,2099.153,2106.7737,2107.422
1762.9135,1762.1398,1748.2761,1754.2769,1766.4927,1777.595
8922.19,9102.818,9334.495,9456.352,9577.035,9835.725
2714.268,2715.388,2711.6665,2715.3418,2711.954,2719.3674
3422.3044,3467.4045,3500.3113,3509.83,3525.1755,3559.353
4078.9883,4115.544,4159.0356,4198.471,4234.4087,4278.278
8733.979,8890.239,9034.101,9160.285,9232.647,9325.293
5026.0347,5073.855,5121.0527,5162.4844,5189.2173,5221.6313
1676.3455,1717.2473,1754.9816,1786.8584,1811.5178,1829.7301
1553.8005,1556.1337,1556.5205,1562.0546,1558.9724,1561.1232
1427.8735,1429.8079,1431.7689,1432.4333,1433.657,1436.9607
1138.3335,1147.8118,1159.0443,1164.358,1169.7007,1180.048
6300.5127,6488.4395,6696.7573,6876.2715,7009.67,7182.8066
3885.2314,3978.3782,4091.264,4145.037,4209.3345,4314.546
10050.342,10368.939,10703.5,10974.259,11176.725,11465.383
6141.996,6158.3047,6170.6963,6182.448,6192.158,6238.311
12366.234,12593.522,12847.042,13044.42,13137.805,13316.341
6440.1797,6561.862,6705.907,6832.309,6956.98,7095.581
4157.075,4158.223,4157.5586,4164.351,4169.6533,4183.101
8132.284,8371.719,8630.606,8831.078,8975.312,9236.275
8750.602,9033.604,9390.296,9670.511,9925.114,10246.229
985.41125,979.9522,970.67426,969.48505,971.86597,974.7924
7905.2485,8052.0513,8225.959,8372.082,8499.139,8653.203
6017.7266,6120.5586,6238.9507,6325.5957,6426.963,6537.7803
4116.9956,4209.1206,4298.9346,4366.1343,4412.176,4482.2715
4444.456,4530.352,4609.572,4656.5923,4692.545,4765.3267
1614.3154,1670.6765,1734.5151,1805.562,1835.3824,1911.3562
2365.0728,2367.6643,2368.951,2373.1199,2371.6738,2378.9043
2970.4766,2979.3481,2988.7861,2997.2004,3011.8738,3022.411
4995.157,5153.0337,5335.545,5462.709,5568.582,5708.548
12695.018,12875.632,13110.6045,13303.195,13458.338,13658.335
1977.1827,1975.1298,1968.6876,1973.2305,1973.9984,1980.1296
5201.604,5273.2085,5359.9014,5444.602,5522.3013,5611.285
2437.9028,2467.3499,2504.0144,2524.7886,2536.0596,2561.7402
2218.8118,2225.561,2232.7202,2233.0796,2239.285,2246.6626
3555.0222,3571.4705,3581.4766,3591.6548,3597.325,3608.9075
1690.3728,1729.4517,1768.2195,1818.9348,1855.7426,1919.665
1162.1184,1161.1339,1159.7163,1157.9255,1162.8707,1164.5564
1492.6735,1494.8391,1495.2078,1500.7085,1497.3907,1502.016
12278.648,12432.96,12648.276,12787.778,12871.2,13029.512
1812.3398,1842.9261,1874.5089,1901.4666,1923.4097,1944.4043
2705.189,2695.192,2672.6824,2680.4531,2676.4644,2681.4248
1552.9049,1566.6532,1581.344,1594.4558,1608.0427,1618.856
5968.1255,6018.027,6080.14,6125.758,6155.8013,6204.286
1070.1484,1071.4479,1071.5267,1074.3451,1075.8499,1084.0482
7692.1255,7688.649,7676.4023,7689.6787,7697.133,7718.498
5409.561,5562.3057,5725.4004,5858.1963,5967.4277,6079.8267
4482.7983,4614.394,4743.789,4839.838,4889.781,4977.2925
1542.7744,1562.9918,1585.4407,1605.2656,1623.8635,1644.9592
1332.8182,1340.4323,1348.9128,1356.0833,1362.4838,1368.8313
2660.1807,2696.2346,2735.476,2769.5488,2800.0916,2829.2158
2290.1814,2353.4219,2427.5007,2492.4075,2555.1145,2616.207
20393.338,21473.768,22769.824,23833.129,24867.617,25978.656
11315.084,12073.622,12936.424,13540.082,14047.365,14689.634
18987.387,19742.676,20586.992,21316.816,22013.787,22649.299
2175.004,2169.717,2147.9675,2173.9902,2167.4092,2171.6382
3695.0352,3819.2578,3967.9458,4096.3906,4236.28,4369.8267
8661.799,9055.985,9514.695,9905.283,10279.251,10663.369
6025.8784,6369.2993,6752.483,7082.166,7428.657,7670.8906
6709.8003,6955.4077,7217.539,7420.88,7588.819,7817.081
2451.488,2533.8308,2624.9849,2702.3997,2773.4033,2837.5403
3813.3955,3956.1858,4113.4077,4246.009,4366.467,4485.912
1864.706,1929.9998,1996.4668,2049.709,2096.579,2111.4292
10675.655,11012.893,11428.349,11770.125,12108.444,12489.966
4670.4443,4976.372,5319.8477,5598.8496,5838.0693,6103.694
3300.923,3501.641,3735.7476,3934.2295,4112.405,4306.1343
2615.1265,2732.219,2878.5264,2999.3328,3113.0696,3248.1753
14282.361,15324.529,16516.64,17391.969,18351.072,19397.451
19880.81,20564.5,21247.998,21771.096,22103.254,22595.982
4339.2,4522.107,4747.3354,4929.738,5098.0117,5300.5996
5210.1597,5397.801,5614.8984,5791.3633,5945.5825,6115.462
10072.747,10508.434,11009.364,11400.379,11745.182,12079.105
8442.6045,8975.575,9599.946,10088.863,10476.374,10968.357
10216.221,10388.013,10560.218,10639.017,10721.72,10829.979
2064.7754,2120.5955,2183.2073,2236.3794,2279.8848,2332.2356
6054.815,6477.0674,6994.5215,7380.2075,7742.5776,8190.228
8935.564,9236.3,9594.877,9859.912,10082.257,10349.236
3528.9678,3777.718,4064.0776,4300.3745,4497.969,4732.966
10189.537,10643.418,11215.543,11612.465,12049.965,12501.797
3778.5913,3955.165,4148.298,4305.641,4452.363,4600.9805
11598.941,12465.04,13392.419,14143.021,14782.648,15328.324
2266.476,2409.4883,2565.1218,2681.7427,2774.1187,2900.2485
15458.382,15758.842,16069.811,16318.41,16518.074,16686.13
1205.858,1167.9658,1075.6097,1098.721,1129.8778,1133.089
2227.9,2373.7644,2540.8242,2677.5515,2832.372,2967.0269
9323.842,9668.344,10051.793,10380.203,10674.681,10970.183
2971.5771,3111.0679,3276.4155,3408.5256,3536.0425,3683.8833
16593.508,17217.107,17998.42,18739.22,19751.01,20432.785
4743.374,4897.044,5068.4814,5212.7295,5347.6924,5477.3027
11180.326,11796.141,12450.848,12963.275,13526.07,13966.938
5346.657,5554.4805,5797.731,6001.618,6195.9316,6393.2285
3035.1265,3182.9058,3360.079,3509.2769,3644.751,3805.5737
2468.2102,2522.7173,2575.063,2614.6711,2635.9148,2671.198
2116.6245,2242.668,2403.517,2527.979,2622.5693,2764.1743
12597.037,13470.277,14323.905,14944.818,15255.262,15764.742
11761.944,12167.216,12601.376,12914.633,13173.637,13526.426
14707.873,16053.588,17665.799,18966.602,20207.232,21628.422
4661.0967,4976.3647,5334.5312,5624.2974,5858.6777,6136.804
4528.588,4871.081,5269.1533,5576.6406,5809.8613,6118.222
1055.9386,976.67554,840.7561,839.52,927.8342,886.15674
4365.3887,4527.208,4721.701,4878.1826,5024.764,5193.56
11070.769,11845.105,12683.568,13374.508,13950.479,14546.342
6874.965,7023.297,7215.3774,7321.2544,7400.2505,7565.416
2325.3733,2379.4766,2437.7576,2483.954,2515.6013,2549.2393
1868.0858,1933.2656,2005.3524,2059.9658,2103.4019,2141.1978
6075.958,6547.3296,7114.332,7560.9395,7994.051,8517.724
9989.984,10510.158,11127.564,11555.197,11987.191,12441.303
2299.5352,2379.9868,2478.1948,2553.2786,2614.8506,2695.1958
6748.168,6912.665,6993.388,7009.776,7004.751,7057.5967
5026.287,5449.298,5950.0527,6365.216,6727.467,7157.8535
7969.2188,8287.254,8604.35,8813.674,9114.439,9367.114
5950.034,6212.5215,6499.264,6731.215,6927.646,7121.4883
8370.559,8488.305,8605.299,8701.711,8765.474,8820.567
